Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00126080300353612,0.00519236785681992,0.138659276442195,0,0,0,5.20598339351225,0.0280051774287562,-2.49563979970753E-06,-0.000219149991454708,0.0125658708743108,-6.03440353371326E-07,0.0244927144595299,0,0,0,0,0,0,package://YiHumanoid/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://YiHumanoid/meshes/base_link.STL,,手臂总装-1/Robstride02.STEP-5;手臂总装-1/手臂电机安装件1-2;手臂总装-1/Robstride02.STEP-1;手臂总装-1/手臂电机安装件1-1;下身电机安装底板-1;Robstride03.stp-1;Robstride03.stp-2;前胸板-1;后胸板-1;胸侧板-1;胸侧板-2;腰部转接件-1;腰部转接件-2;腰部固定件1-1;Jeston_AGX_ORIN-1;2020铝型材1-1;2020铝型材1-2;2020方铝2mm-1;2020方铝2mm-2;2020方铝2mm-3;2020方铝2mm-4;2020铝型材1-4;2020铝型材1-6;铝材安装件-1;上盖板-1;胸前装饰板-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Lleg_yaw_link,-8.17688996189447E-06,-0.064211556767111,0.0468216603006138,0,0,0,0.293878111017046,0.000351515674640292,-1.24647817613954E-07,2.98943875283098E-08,0.000416028273722631,0.000138705964435253,0.000329748248425989,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_yaw_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_yaw_link.STL,,腿部总装-1/03电机垫片-1;腿部总装-1/臀部电机转接件-1;腿部总装-1/Robstride03.stp-1,Lleg_yaw_joint,A_Lleg_yaw_joint,Lleg_yaw_joint,revolute,-0.00043412,0.09,0.002462,2.9671,0,1.5708,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
Lleg_roll_link,0.0141389646553413,0.00937421142592759,0.0522179453911727,0,0,0,0.410455273338365,0.000478299845522026,-1.90276969577176E-06,2.15781878123719E-06,0.000263939268138506,-7.91726132033917E-05,0.000306642922987054,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_roll_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_roll_link.STL,,腿部总装-1/03电机垫片3mm-1;腿部总装-1/跨部电机转接板1.1-1;腿部总装-1/Robstride03.stp-2;腿部总装-1/大腿从动臂安装件1-1;腿部总装-1/大腿从动臂轴承安装盖-1;腿部总装-1/50_62_6轴承-1;腿部总装-1/大腿从动臂垫片-1;腿部总装-1/大腿从动臂锁紧盖-1,Lleg_roll_joint,A_Lleg_roll_joint,Lleg_roll_joint,revolute,0,-0.076544,0.078561,-1.1345,0,0,Lleg_yaw_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
Lleg_thigh_link,0.0279415919339914,-0.150672650561279,-0.0345527951602002,0,0,0,1.05940705407521,0.00271759992675096,0.000384923109350857,8.31464028471571E-08,0.000722464297091271,4.97474811860391E-09,0.00337447119020746,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_thigh_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_thigh_link.STL,,腿部总装-1/膝关节安装盖1-1;腿部总装-1/膝关节垫片-1;腿部总装-1/40_52_7轴承-1;腿部总装-1/5M同步带410-1;腿部总装-1/膝关节轴承安装件-1;腿部总装-1/5M35_15-1;腿部总装-1/膝关节电机安装件-1;腿部总装-1/Robstride03.stp-3;腿部总装-1/大腿从动臂_1-1;腿部总装-1/大腿动力臂-1;腿部总装-1/03电机大腿动力臂垫片-1;腿部总装-1/膝关节中轴-1;腿部总装-1/膝关节中轴1-1;腿部总装-1/膝关节轴承安装件-2;腿部总装-1/膝关节垫片-2;腿部总装-1/40_52_7轴承-2;腿部总装-1/膝关节安装盖-1;腿部总装-1/5M26_15-1,Lleg_thigh_joint,A_Lleg_thigh_joint,Lleg_thigh_joint,revolute,-0.02245,0,0.063,-1.5708,-1.309,1.5708,Lleg_roll_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
Lleg_calf_link,-0.0281260430187408,-0.13027617238633,-0.0495826627377445,0,0,0,0.687431696516683,0.00210260398868753,-0.000358172203304073,-9.5611737850476E-08,0.000525951203010462,-3.40930801076134E-08,0.00260075301203004,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_calf_link.STL,,腿部总装-1/小腿臂1-1;腿部总装-1/5M26_9_03-1;腿部总装-1/5M同步带400-1;腿部总装-1/Robstride03.stp-4;腿部总装-1/小腿电机安装件-1;腿部总装-1/小腿臂2-1;腿部总装-1/踝关节轴承安装件右-1;腿部总装-1/踝关节轴承安装件左-1;腿部总装-1/30_42_7轴承-1;腿部总装-1/30_37_4轴承-1;腿部总装-1/踝关节轴盖-1;腿部总装-1/踝关节轴盖-2;腿部总装-1/踝关节中轴1-1;腿部总装-1/踝关节中轴2-1,Lleg_calf_joint,A_Lleg_calf_joint,Lleg_calf_joint,revolute,0.04377,-0.23597,0.0185,0,0,0,Lleg_thigh_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
Lleg_ankle_link,-0.00910454747072841,0.0357833843092447,-0.0241636670294526,0,0,0,0.369212630531505,6.44296425288788E-05,5.19711099170062E-06,1.42895674382533E-10,0.0003825113541085,3.3896501936871E-11,0.000376285489911195,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_ankle_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Lleg_ankle_link.STL,,腿部总装-1/5M26_9_03从动-1;腿部总装-1/踝关节-1;腿部总装-1/足底垫片-1;腿部总装-1/足底-1,Lleg_ankle_joint,A_Lleg_ankle_joint,Lleg_ankle_joint,revolute,-0.050647,-0.2346,-0.03,0,0,-3.1416,Lleg_calf_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
Rleg_yaw_link,7.78843179916056E-06,-0.0642308817681135,0.0468631034282553,0,0,0,0.293878109720803,0.000351515674689047,5.70025971060987E-08,1.14599498061829E-07,0.000416002962183907,0.000138727203417105,0.000329773560100324,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_yaw_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_yaw_link.STL,,腿部总装-1/03电机垫片-2;腿部总装-1/臀部电机转接件-2;腿部总装-1/Robstride03.stp-6,Rleg_yaw_joint,A_Rleg_yaw_joint,Rleg_yaw_joint,revolute,-0.00043412,-0.09,0.002462,2.9671,0,1.5708,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
Rleg_roll_link,-0.0142095904428153,0.0094066776770966,0.0522136767245517,0,0,0,0.41045527021018,0.000478299842501201,1.63999452119201E-06,-2.22639284494946E-06,0.000263979821354801,-7.90210241979161E-05,0.000306602366742933,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_roll_link.STL,,腿部总装-1/跨部电机转接板1.1-2;腿部总装-1/03电机垫片3mm-2;腿部总装-1/Robstride03.stp-7;腿部总装-1/大腿从动臂安装件1-2;腿部总装-1/大腿从动臂轴承安装盖-2;腿部总装-1/大腿从动臂垫片-2;腿部总装-1/50_62_6轴承-2;腿部总装-1/大腿从动臂锁紧盖-2,Rleg_roll_joint,A_Rleg_roll_joint,Rleg_roll_jonit,revolute,0,-0.076544,0.078561,-1.1345,0,0,Rleg_yaw_link,0,0,-1,100,100,0,0,,,,,,,,
Rleg_thigh_link,-0.0279487895479656,-0.150662193018132,-0.0345527954308939,0,0,0,1.05940705196861,0.00271745325438287,-0.000384867319390314,-6.42093806453409E-08,0.000722610964150146,-2.23016477758802E-08,0.00337447118497071,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_thigh_link.STL,,腿部总装-1/大腿从动臂_1-2;腿部总装-1/03电机大腿动力臂垫片-2;腿部总装-1/大腿动力臂-2;腿部总装-1/膝关节电机安装件-2;腿部总装-1/5M35_15-2;腿部总装-1/Robstride03.stp-5;腿部总装-1/5M同步带410-2;腿部总装-1/膝关节垫片-4;腿部总装-1/膝关节安装盖-2;腿部总装-1/40_52_7轴承-4;腿部总装-1/膝关节轴承安装件-4;腿部总装-1/膝关节中轴1-2;腿部总装-1/5M26_15-2;腿部总装-1/膝关节中轴-2;腿部总装-1/膝关节安装盖1-2;腿部总装-1/膝关节轴承安装件-3;腿部总装-1/膝关节垫片-3;腿部总装-1/40_52_7轴承-3,Rleg_thigh_joint,A_Rleg_thigh_joint,Rleg_thigh_joint,revolute,0.02245,0,0.063,-1.5708,1.309,-1.5708,Rleg_roll_link,0,0,-1,100,100,0,0,,,,,,,,
Rleg_calf_link,0.0279698273005394,-0.130247734340621,-0.0495867036802772,0,0,0,0.687431696507538,0.00210265928841338,0.000358319055926704,-1.01576703627286E-07,0.000525895903277774,1.80377761618618E-09,0.00260075301202322,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://YiHumanoid/meshes/Rleg_calf_link.STL,,腿部总装-1/小腿臂2-2;腿部总装-1/小腿臂1-2;腿部总装-1/小腿电机安装件-2;腿部总装-1/5M26_9_03-2;腿部总装-1/5M同步带400-2;腿部总装-1/踝关节轴承安装件右-2;腿部总装-1/踝关节轴盖-4;腿部总装-1/30_42_7轴承-2;腿部总装-1/踝关节中轴1-2;腿部总装-1/踝关节轴盖-3;腿部总装-1/30_37_4轴承-2;腿部总装-1/踝关节轴承安装件左-2;腿部总装-1/踝关节中轴2-2;腿部总装-1/Robstride03.stp-8,Rleg_calf_joint,A_Rleg_calf_joint,Rleg_calf_joint,revolute,-0.04377,-0.23597,0.0185,0,0,0,Rleg_thigh_link,0,0,1,100,100,0,0,,,,,,,,
